ID,TEMP,REL HUMIDITY,DEW POINT,CO2,CH4,SO2,NH3,O3,O2,PM 2_5,PM_10,Avg_AQI
4905,27.82,72.96,19.12,0.1762,1.2487,0.73,6.73,1.167,0.027,0.4268,221,38.21618889
4906,27.82,72.96,19.12,0.176,1.2487,0.65,6.77,1.1681,0.0269,0.425,221,38.21607778
4907,27.83,72.96,19.13,0.1748,1.2363,0.65,6.76,1.1668,0.0268,0.4246,220,38.10547778
4908,27.82,72.96,19.12,0.1768,1.2477,0.7,7.08,1.1661,0.027,0.4259,220,38.10483333
4909,27.83,72.96,19.13,0.179,1.2466,0.76,7.04,1.1652,0.0269,0.4257,219,37.99593333
4910,27.82,72.96,19.12,0.1757,1.2487,0.78,6.64,1.1671,0.0269,0.4261,219,37.99383333
4911,27.82,72.96,19.12,0.1758,1.248,0.77,6.79,1.1689,0.027,0.4245,217,37.77157778
4912,27.83,72.99,19.13,0.1774,1.2464,0.72,7.14,1.1688,0.0269,0.4245,215,37.55488889
4913,27.81,72.98,19.12,0.1774,1.2487,0.67,6.79,1.1692,0.0269,0.4252,214,37.43971111
4914,27.82,72.96,19.12,0.1777,1.2446,0.8,7.17,1.1698,0.0275,0.4256,214,37.43835556
4915,27.82,72.96,19.12,0.1778,1.2485,0.73,6.94,1.1705,0.0268,0.4245,213,37.32756667
4916,27.83,72.96,19.13,0.1765,1.2482,0.7,6.79,1.1708,0.0269,0.4266,212,37.21877778
4917,27.82,72.96,19.12,0.1766,1.2482,0.67,6.69,1.1699,0.0269,0.4249,211,37.10516667
4918,27.82,72.96,19.12,0.1771,1.2483,0.73,6.6,1.1701,0.0269,0.4248,210,36.99413333
4919,27.8,73.04,19.12,0.1785,1.2473,0.69,6.79,1.17,0.027,0.4242,210,37.00077778
4920,27.82,73.05,19.14,0.1777,1.2459,0.66,6.92,1.1706,0.027,0.4263,208,36.78416667
4921,27.82,73.02,19.13,0.177,1.2482,0.66,6.95,1.1707,0.0269,0.4277,208,36.78005556
4922,27.82,73.02,19.13,0.1769,1.2477,0.69,6.62,1.1708,0.027,0.4262,208,36.77984444
4923,27.81,73.01,19.12,0.1776,1.2464,0.78,6.99,1.1702,0.0269,0.4251,207,36.66513333
4924,27.8,73.04,19.12,0.1775,1.2478,0.77,6.91,1.1709,0.0269,0.4267,207,36.66775556
